Sample ID,Study,Project ID,Condition ID,Replicate #,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic,Culture Type,Growth Rate (1/hr),Evolved Sample,Isolate Type,Sequencing Machine,ALEdb sample,Additional Details,Biological Replicates,Alignment,DOI,GEO
efeU__menFentC_ale29__1,Pseudogene Repair,efeU,menFentC_ale29,1,Escherichia coli EEP_menF_entC.29.82.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),37,7,,Batch,0.9,Endpoint,Clonal,HiSeq 4000,EEP menF entC 29.82.1.1,,2,93.36,doi.org/10.1038/s41564-018-0340-2,GSE122779
efeU__menFentC_ale29__2,Pseudogene Repair,efeU,menFentC_ale29,2,Escherichia coli EEP_menF_entC.29.82.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),37,7,,Batch,0.9,Endpoint,Clonal,HiSeq 4000,EEP menF entC 29.82.1.1,,2,93.1,doi.org/10.1038/s41564-018-0340-2,GSE122779
efeU__menFentC_ale30__1,Pseudogene Repair,efeU,menFentC_ale30,1,Escherichia coli EEP_menF_entC.30.83.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),37,7,,Batch,0.95,Endpoint,Clonal,HiSeq 4000,EEP menF entC 30.83.1.1,,2,93.94,doi.org/10.1038/s41564-018-0340-2,GSE122779
efeU__menFentC_ale30__2,Pseudogene Repair,efeU,menFentC_ale30,2,Escherichia coli EEP_menF_entC.30.83.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),37,7,,Batch,0.95,Endpoint,Clonal,HiSeq 4000,EEP menF entC 30.83.1.1,,2,92.83,doi.org/10.1038/s41564-018-0340-2,GSE122779
efeU__menFentCubiC_ale36__1,Pseudogene Repair,efeU,menFentCubiC_ale36,1,Escherichia coli EEP_menF_entC_ubiC.36.86.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.58,Endpoint,Clonal,HiSeq 4000,EEPmenFubiCentC 36.86.1.1,,2,92.9,doi.org/10.1038/s41564-018-0340-2,GSE122779
efeU__menFentCubiC_ale36__2,Pseudogene Repair,efeU,menFentCubiC_ale36,2,Escherichia coli EEP_menF_entC_ubiC.36.86.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.58,Endpoint,Clonal,HiSeq 4000,EEPmenFubiCentC 36.86.1.1,,2,93.44,doi.org/10.1038/s41564-018-0340-2,GSE122779
efeU__menFentCubiC_ale37__1,Pseudogene Repair,efeU,menFentCubiC_ale37,1,Escherichia coli EEP_menF_entC_ubiC.37.25.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.46,Endpoint,Clonal,HiSeq 4000,EEPmenFubiCentC 37.25.1.1,,2,94.89,doi.org/10.1038/s41564-018-0340-2,GSE122779
efeU__menFentCubiC_ale37__2,Pseudogene Repair,efeU,menFentCubiC_ale37,2,Escherichia coli EEP_menF_entC_ubiC.37.25.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.46,Endpoint,Clonal,HiSeq 4000,EEPmenFubiCentC 37.25.1.1,,2,94.62,doi.org/10.1038/s41564-018-0340-2,GSE122779
efeU__menFentCubiC_ale38__1,Pseudogene Repair,efeU,menFentCubiC_ale38,1,Escherichia coli EEP_menF_entC_ubiC.38.28.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.58,Endpoint,Clonal,HiSeq 4000,EEPmenFubiCentC 38.28.1.1,,2,95.65,doi.org/10.1038/s41564-018-0340-2,GSE122779
efeU__menFentCubiC_ale38__2,Pseudogene Repair,efeU,menFentCubiC_ale38,2,Escherichia coli EEP_menF_entC_ubiC.38.28.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.58,Endpoint,Clonal,HiSeq 4000,EEPmenFubiCentC 38.28.1.1,,2,94.94,doi.org/10.1038/s41564-018-0340-2,GSE122779
